LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
584,Naive,8192,64,Lower0.5Upper2,306184192,37376,584,608180119,1216360238,2432720476,,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,188,0,2,0,0,33,54,112974,321135246,197125282,35800,0,0,0,1,900,185427,21007310,60646,10,0,0,0,15,509,316266,180,0,0,0,94241,5054,0,0,0,0,0,0,0,0,0,2,0,0
585,Naive,8192,64,Lower0.5Upper2,306708480,37440,585,555517262,1111034524,2222069048,,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,154,0,2,0,0,0,46,103023,299152468,176621236,32496,0,0,0,1,891,184889,19130662,56063,12,0,0,0,13,460,301198,168,0,0,0,89843,5118,0,0,0,0,0,0,0,0,0,0,0,0
586,Naive,8192,64,Lower0.5Upper2,307232768,37504,586,522699246.5,1045398493,2090796986,,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,149,0,2,0,0,0,42,103591,283054390,164637939,31233,0,0,0,1,913,186193,18666105,55319,12,0,0,0,13,433,276686,176,0,0,0,88227,5133,1,0,0,0,0,0,0,0,0,0,0,0
587,Naive,8192,64,Lower0.5Upper2,307757056,37568,587,510232531,1020465062,2040930124,,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,152,0,2,0,0,0,47,108352,277022139,159550566,31140,0,0,0,1,932,188022,18863043,57008,13,0,0,0,13,453,259993,172,0,0,0,83208,4929,1,0,0,0,0,0,0,0,0,0,0,0
588,Naive,8192,64,Lower0.5Upper2,308281344,37632,588,507885293.5,1015770587,2031541174,,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,158,0,0,0,0,0,44,113176,278303115,156541597,31470,0,0,0,1,942,190342,19068722,58151,14,0,0,0,13,503,245873,164,0,0,0,82751,4540,1,0,0,0,0,0,0,0,0,0,0,0
589,Naive,8192,64,Lower0.5Upper2,308805632,37696,589,507490884,1014981768,2029963536,,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,181,0,0,0,0,0,39,117476,280962669,153954785,31237,0,0,0,1,943,192466,19236879,59046,13,0,0,0,13,506,235998,164,0,0,0,80853,4510,1,0,0,0,0,0,0,0,0,0,0,0
590,Naive,8192,64,Lower0.5Upper2,309329920,37760,590,512008671,1024017342,2048034684,,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,170,0,0,0,0,0,32,121777,286118217,153397700,30679,0,0,0,1,934,194533,19395605,58731,15,0,0,0,12,493,227140,180,0,0,0,79317,4857,1,0,0,0,0,0,0,0,0,0,0,0
591,Naive,8192,64,Lower0.5Upper2,309854208,37824,591,507736637,1015473274,2030946548,,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,170,0,0,0,0,0,35,125954,287517546,150204950,30294,0,0,0,1,942,196429,19071936,59077,15,0,0,0,10,521,206009,180,0,0,0,76696,4556,1,0,0,0,0,0,0,0,0,0,0,0
592,Naive,8192,64,Lower0.5Upper2,310378496,37888,592,509514053,1019028106,2038056212,,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,161,0,0,0,0,0,117,127202,290754882,150387711,29413,0,0,0,1,956,198330,18638982,60151,16,0,0,0,9,461,188313,234,0,0,0,76247,4397,0,0,0,0,0,0,0,0,0,0,0,0
593,Naive,8192,64,Lower0.5Upper2,310902784,37952,593,514877504,1029755008,2059510016,,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,161,0,0,0,0,0,266,129157,295343355,152228813,27961,0,0,0,0,978,202905,18358400,60303,15,0,0,0,10,485,174664,234,0,0,0,74049,4025,0,0,0,0,0,0,0,0,0,0,0,0
594,Naive,8192,64,Lower0.5Upper2,311427072,38016,594,521269369,1042538738,2085077476,,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,193,0,0,0,0,0,474,134636,301343434,152443018,26269,0,0,0,0,963,206418,18185066,59511,13,0,0,0,10,481,162299,219,0,0,0,76380,4014,0,0,0,0,0,0,0,0,0,0,0,0
595,Naive,8192,64,Lower0.5Upper2,311951360,38080,595,537617031.5,1075234063,2150468126,,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,243,0,0,0,0,0,648,141813,313125210,156381337,24785,0,0,0,0,980,219109,18145532,56630,16,0,0,0,9,435,147803,215,0,0,0,76153,3936,0,0,0,0,0,0,0,0,0,0,0,0
596,Naive,8192,64,Lower0.5Upper2,312475648,38144,596,552868938.5,1105737877,2211475754,,0,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,274,0,0,0,0,0,822,145506,324607602,159492533,24893,0,0,0,0,987,228267,18008844,56904,15,0,0,0,8,414,138362,225,0,0,0,76286,4267,0,0,0,0,0,0,0,0,0,0,0,0
597,Naive,8192,64,Lower0.5Upper2,312999936,38208,597,562137946,1124275892,2248551784,,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,306,2,0,0,0,0,905,148533,332466679,160928330,24087,0,0,0,0,957,239084,18012222,57012,20,0,0,0,5,417,137669,240,0,0,0,75928,4459,0,0,0,0,0,0,0,0,0,0,0,0
598,Naive,8192,64,Lower0.5Upper2,313524224,38272,598,570936694,1141873388,2283746776,,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,332,2,0,0,0,0,1021,149553,340338818,162603795,24149,0,0,0,0,939,246783,18080851,56566,20,0,0,0,5,391,129012,235,0,0,0,75193,4447,0,0,0,0,0,0,0,0,0,0,0,0
599,Naive,8192,64,Lower0.5Upper2,314048512,38336,599,584202387,1168404774,2336809548,,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,309,2,0,0,0,0,1136,150360,352279592,164538122,24312,0,0,0,0,929,250039,18328769,57219,17,0,0,0,5,389,120266,220,0,0,0,70594,4457,0,0,0,0,0,0,0,0,0,0,0,0
600,Naive,8192,64,Lower0.5Upper2,314572800,38400,600,597095834,1194191668,2388383336,,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,279,2,0,0,0,8,1209,155830,363572125,166715723,26316,0,0,0,0,885,250515,18695065,56363,20,0,0,0,4,415,101329,229,0,0,0,67100,4237,0,0,0,0,0,0,0,0,0,0,0,0
601,Naive,8192,64,Lower0.5Upper2,315097088,38464,601,610771101,1221542202,2443084404,,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,264,2,0,0,0,5,1355,165078,374535330,169498821,27284,0,0,0,0,951,259097,18898128,56580,24,0,0,0,5,394,88522,230,0,0,0,62453,3907,0,0,0,0,0,0,0,0,0,0,0,0
602,Naive,8192,64,Lower0.5Upper2,315621376,38528,602,625933223,1251866446,2503732892,,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,232,2,0,0,0,4,1414,174729,384701268,172836819,27705,0,0,0,0,1029,271173,19045127,56323,32,0,0,0,5,373,86674,196,0,0,0,62276,3809,0,0,0,0,0,0,0,0,0,0,0,0
