LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18
16,Distance,4950,18,Threshold 5,2851488,1301,16,5,5.84086720826679,="+Infinity",,0.122369109756306,0.111496572967596,0.372661830335318,0.380436235799507,0.518847850328243,-0.0097994787840463,0.104062691278841,0.163235216489184,0.159777996045861,0.331671083794589,0.389120740916965,0.527824811167648,0.0591805067751636,0.161044974704353,0.476332645806011,0.172404388559769,0.0770006896374298,0.0621219719593569
17,Value,4950,18,Threshold 5,2851524,1349,16,5,5.72645115217118,="+Infinity",,0.183876453298595,0.111807457381246,0.327980551722263,0.381327166597188,0.518867460188162,0.345184705054109,0.10069155505731,0.164140165590425,0.159687235557143,0.330145332944596,0.390340280647251,0.527297611191429,0.0598285345735121,0.1590358729554,0.477909281780285,0.276319921345802,0.0705486811264393,0.064531128712602
17,Vector,4950,18,Threshold 5,1613700,344,0,5,5.72652727171798,="+Infinity",,0.184196714403186,0.114559082316305,0.331091727670298,0.380283034995685,0.518615026937255,0.344694348925515,0.0990770642998342,0.162878217882934,0.163076991448449,0.331352870761464,0.388991064063632,0.527402718375185,0.0591143344504417,0.160167248227424,0.476747199397039,0.273896130966264,0.100937991526621,0.0635894970222353
17,Oracle,4950,18,Threshold 5,0,0,0,5,5.72650947901366,="+Infinity",,0.180716835591909,0.115692160430513,0.332163195213425,0.381861668634741,0.518476554239044,0.345019822890379,0.105030274714821,0.163220809480279,0.159618959469597,0.330603090461054,0.388952076861344,0.527770219350018,0.0681944446108389,0.161346140331759,0.478267550076367,0.274985283885343,0.0760126269960466,0.0607286170246937
17,Naive,4950,18,Threshold 5,1514700,306,17,5,5.72653086143293,="+Infinity",,0.192899200888689,0.118163416408876,0.331062142710209,0.380542533216854,0.518461947163743,0.344986776335986,0.105212910593281,0.164448449429088,0.15871808988129,0.32906493248116,0.390677562252122,0.528552535252572,0.0684482081057354,0.15883892898492,0.475336843144987,0.274121993681007,0.0721998731436457,0.0665277934557622
17,Distance,4950,18,Threshold 5,3029706,1385,17,5,5.72654181562544,="+Infinity",,0.180322253127827,0.117879739616143,0.327860499861529,0.380868049434042,0.518438835143371,0.345065683137207,0.0996953645654912,0.163848186076635,0.162500395371367,0.329093637973202,0.389992938437729,0.528283870808522,0.059181435886245,0.160899121216275,0.524868404813432,0.273898843265897,0.10301955967914,0.0644249196973021
18,Value,4950,18,Threshold 5,3029742,1431,17,5,5.63521763904383,="+Infinity",,0.0984451813443172,0.110535565784062,0.429077423496523,0.382317091397027,0.518378823626051,0.345358838620555,0.104056811627459,0.162416107381858,0.12073505722239,0.332126243198857,0.456757312192082,0.52883914895402,0.059119794744575,0.159120295402062,0.303615325296278,0.277003189325242,0.07566754551614,0.0664902733020796
18,Vector,4950,18,Threshold 5,1702800,363,0,5,5.63522592973507,="+Infinity",,0.0977073532238393,0.108984502712758,0.429296100285114,0.382305004977738,0.518477562308448,0.344837612260918,0.100642176246524,0.128418104700714,0.125382885543075,0.330553743442621,0.457426691719405,0.527539136282414,0.0587052140221971,0.159999387494238,0.300163745316212,0.277276975022744,0.0725665995778826,0.0655175077684049
18,Oracle,4950,18,Threshold 5,0,0,0,5,5.63521918991002,="+Infinity",,0.0975282911122974,0.111192200407601,0.430768012982554,0.38236982711048,0.518530965279567,0.346999073651162,0.104693821515525,0.123948168620657,0.120312769422668,0.330487344645064,0.456663886421509,0.527433475058785,0.0682251056609715,0.15881745719453,0.30024568315855,0.275101790141704,0.0746703750668161,0.0628444382776507
18,Naive,4950,18,Threshold 5,1603800,324,18,5,5.63522215319367,="+Infinity",,0.101255761719372,0.111754282066002,0.431613777212306,0.380666851922427,0.518564230612938,0.344461488766882,0.0987351984048814,0.159059009255799,0.120315510789226,0.331755298904582,0.455112169223113,0.528109379736563,0.0603226037575411,0.159844703444818,0.302946897371882,0.275442131646628,0.0746180478432024,0.0647121704443663
18,Distance,4950,18,Threshold 5,3207924,1467,18,5,5.63522253962599,="+Infinity",,0.0971522358405537,0.109231145538928,0.431687418695688,0.38288531575553,0.518659059956647,0.346529075456061,0.102492541965901,0.124736315535515,0.120403851851776,0.329346288136719,0.457444129419031,0.526988488109083,0.0608252466782773,0.159422355988866,0.299455771408375,0.275442237631779,0.0758468282946581,0.0654862824985685
19,Value,4950,18,Threshold 5,3207960,1512,18,5,5.42812289565937,="+Infinity",,0.135326972408492,0.109802671320892,0.431237618850503,0.147757117362701,0.518508207762224,0.346648825988197,0.104397907824065,0.156525614000316,0.121510402150335,0.332370799617664,0.457590918692873,0.570757347152991,0.0664934613585899,0.0515799008647093,0.301395728174185,0.107339906223075,0.0738561707563719,0.067250567062743
19,Vector,4950,18,Threshold 5,1881000,408,0,5,5.42809968452445,="+Infinity",,0.137296810581333,0.11775008684566,0.432043905390003,0.147708662519179,0.518756612287675,0.346384579211488,0.100329999878255,0.148624359562007,0.120307185823194,0.330515968617405,0.455454600731187,0.57153055081946,0.0682618031212741,0.052781243087594,0.301721651166773,0.106235704070926,0.0982939751198728,0.065066480074762
19,Oracle,4950,18,Threshold 5,0,0,0,5,5.42806387754113,="+Infinity",,0.137796315234823,0.112601091724613,0.430894496982319,0.148329722611507,0.518756492549798,0.345955568379551,0.0991496912928369,0.144392306883148,0.120413558546232,0.330246083949035,0.457081137477786,0.572150639440693,0.0622175025757912,-0.0518967026900441,0.302978481637751,0.102622420426954,0.0705731986543299,0.0646060573611322
19,Naive,4950,18,Threshold 5,1692900,342,19,5,5.42813014189663,="+Infinity",,0.137720168632256,0.116604617037027,0.428567759529031,0.147973247710212,0.518408505587914,0.344430610709566,0.0987601864892582,0.15781604253813,-0.125535985030297,0.330456671225917,0.45785453593345,0.571617714306299,0.0623121885115978,0.0457962920789043,0.300199834289927,0.107066482377306,0.073667074195086,0.0670624055688336
