LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
15,Naive,4950,4,Threshold 5,297000,60,15,5,7.88747355479642,="+Infinity",,0.562859978006074,0.633832947855723,0.579050767899119,0.42743913907816
15,Distance,4950,4,Threshold 5,0,0,0,5,7.88746434319582,="+Infinity",,0.56280403301929,0.633605734314628,0.578840218863164,0.427430470002761
16,Value,4950,4,Threshold 5,0,0,0,5,7.82697949790692,="+Infinity",,0.535558618781934,0.637402868334789,0.579135188418221,0.424685200903511
16,Vector,4950,4,Threshold 5,0,0,0,5,7.82698019415228,="+Infinity",,0.535324494815384,0.636801717631641,0.579028807693533,0.424666227762671
16,Oracle,4950,4,Threshold 5,0,0,0,5,7.82697934678785,="+Infinity",,0.535315827520137,0.637440096935634,0.57773377582744,0.424670491135899
16,Naive,4950,4,Threshold 5,316800,64,16,5,7.82696079153962,="+Infinity",,0.535296712864906,0.637527335512772,0.578996483419914,0.424663095826247
16,Distance,4950,4,Threshold 5,0,0,0,5,7.82697871512815,="+Infinity",,0.535579136244579,0.637471305198432,0.578986582486422,0.424644470128669
17,Value,4950,4,Threshold 5,0,0,0,5,7.7219343717797,="+Infinity",,0.535587745826149,0.604064337515595,0.5619010365414,0.424628582189627
17,Vector,4950,4,Threshold 5,0,0,0,5,7.72187842478716,="+Infinity",,0.535369467628001,0.60414089754002,0.561937182955077,0.424673740726249
17,Oracle,4950,4,Threshold 5,0,0,0,5,7.72193768405589,="+Infinity",,0.535317343317558,0.604141463901939,0.561866119725892,0.424700408138008
17,Naive,4950,4,Threshold 5,336600,68,17,5,7.72192351402455,="+Infinity",,0.535349157341244,0.60373567164892,0.561952606831511,0.424643496097374
17,Distance,4950,4,Threshold 5,0,0,0,5,7.72191948218608,="+Infinity",,0.53528780145588,0.604107114187883,0.561802057747613,0.4245591844101
18,Value,4950,4,Threshold 5,0,0,0,5,7.67956720603858,="+Infinity",,0.535410065087646,0.60400799136265,0.561896311500945,0.399972980506803
18,Vector,4950,4,Threshold 5,0,0,0,5,7.67952514054871,="+Infinity",,0.535408340868614,0.604014869995012,0.561849507314648,0.399976802350977
18,Oracle,4950,4,Threshold 5,0,0,0,5,7.67954599878749,="+Infinity",,0.535289748482072,0.604033530043765,0.561876209264739,0.399865904653069
18,Naive,4950,4,Threshold 5,356400,72,18,5,7.67957605271808,="+Infinity",,0.535351133854363,0.603997837059126,0.561829686880316,0.399967793312356
18,Distance,4950,4,Threshold 5,0,0,0,5,7.67956948473436,="+Infinity",,0.535471451718422,0.60405152781081,0.561660930858181,0.3998951206963
19,Value,4950,4,Threshold 5,0,0,0,5,7.62284714828617,="+Infinity",,0.476134571235733,0.604038561853827,0.553620174744069,0.399979836523102
19,Vector,4950,4,Threshold 5,0,0,0,5,7.62285510014019,="+Infinity",,0.476136193087584,0.604118449048229,0.584254925703206,0.400244624244081
19,Oracle,4950,4,Threshold 5,0,0,0,5,7.62284808739854,="+Infinity",,0.476058967900087,0.604076568927908,0.555234328917706,0.399831488462553
19,Naive,4950,4,Threshold 5,376200,76,19,5,7.62285042184426,="+Infinity",,0.476246454967722,0.60407088094378,0.555573418044915,0.400272635738702
19,Distance,4950,4,Threshold 5,0,0,0,5,7.62284491544794,="+Infinity",,0.476307179587749,0.603793616695967,0.555724147973805,0.399951661174228
20,Value,4950,4,Threshold 5,0,0,0,5,7.6295993000136,="+Infinity",,0.47614152611564,0.568974085739839,0.555782953506295,0.399968501217558
20,Vector,4950,4,Threshold 5,0,0,0,5,7.62959037932704,="+Infinity",,0.476164398646233,0.568633906974853,0.554043054515844,0.400241094407406
20,Oracle,4950,4,Threshold 5,0,0,0,5,7.62956184167737,="+Infinity",,0.476085376666987,0.568856854206075,0.555451908246411,0.399945252580864
20,Naive,4950,4,Threshold 5,396000,80,20,5,7.62959655633658,="+Infinity",,0.476298729241691,0.568985271464527,0.553886142511757,0.399964989812744
20,Distance,4950,4,Threshold 5,0,0,0,5,7.62959698698474,="+Infinity",,0.476038008158497,0.568837598720506,0.555847712974284,0.40025002177714
21,Value,4950,4,Threshold 5,0,0,0,5,7.62960597644985,="+Infinity",,0.476157883629639,0.568844475946307,0.55370773022824,0.399971668220459
21,Vector,4950,4,Threshold 5,0,0,0,5,7.62960148709638,="+Infinity",,0.476122422105519,0.568844244592881,0.555559993462282,0.39990449782151
21,Oracle,4950,4,Threshold 5,0,0,0,5,7.62956813817028,="+Infinity",,0.47614491059916,0.568583542125737,0.555751607353329,0.399993588176145
21,Naive,4950,4,Threshold 5,415800,84,21,5,7.62953655548262,="+Infinity",,0.47615279714303,0.568834185443805,0.555102034607813,0.399959554352606
21,Distance,4950,4,Threshold 5,0,0,0,5,7.62959424573536,="+Infinity",,0.476066568869882,0.568945823250374,0.555624969235822,0.399974061176067
22,Value,4950,4,Threshold 5,0,0,0,5,7.67345198187066,="+Infinity",,0.479620451051574,0.562841546746583,0.544562221318657,0.363367093366421
22,Vector,4950,4,Threshold 5,0,0,0,5,7.67345037562404,="+Infinity",,0.479634291029925,0.562889588949005,0.54466107754061,0.363452423490671
