LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
277,Naive,8192,100,Lower0.5Upper2,226918400,27700,277,520501593,1041003186,2082006372,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,158,92,0,0,0,0,0,4,71,212541,155819110,245055367,2963708,1,0,0,0,1,2,1319,149298,10804906,557467,1940,4,0,0,0,0,0,549,157075,0,2,0,0,0,0,108266,142,60,6,0,0,0,0,0,0,1354,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Naive,8192,100,Lower0.5Upper2,227737600,27800,278,517030538,1034061076,2068122152,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,153,109,0,0,0,0,0,6,77,212537,154999385,242176269,2993466,1,0,0,0,1,2,1329,150926,10678042,561491,1945,4,0,0,0,0,0,544,170040,0,2,0,0,0,0,106651,135,61,5,0,0,0,0,0,0,1617,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Naive,8192,100,Lower0.5Upper2,228556800,27900,279,516697201.5,1033394403,2066788806,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,242,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,153,115,0,0,0,0,0,6,78,211927,154083178,242412935,2962712,1,0,0,0,1,2,1320,151769,10550843,560628,1991,4,0,0,0,0,0,539,213162,0,2,0,0,0,0,98361,141,66,4,0,0,0,0,0,0,1647,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Naive,8192,100,Lower0.5Upper2,229376000,28000,280,513201169,1026402338,2052804676,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,147,109,0,0,0,0,0,6,73,208716,152959374,240935194,2937985,1,0,0,0,1,2,1315,152349,10402465,557475,1980,4,0,0,0,0,0,530,224903,0,2,0,0,0,0,94237,148,64,3,0,0,0,0,0,0,1644,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Naive,8192,100,Lower0.5Upper2,230195200,28100,281,510839597,1021679194,2043358388,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,153,95,0,0,0,0,0,6,72,209725,151287991,239491768,2952187,1,0,0,0,1,2,1314,152149,10292326,550199,1973,4,0,0,0,0,0,554,253758,0,2,0,0,0,0,103862,198,66,3,0,0,0,0,0,0,1653,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Naive,8192,100,Lower0.5Upper2,231014400,28200,282,504187626.5,1008375253,2016750506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,125,88,0,0,0,0,0,6,64,211169,148918498,235724913,2865337,1,0,0,0,1,1,1300,152207,10093571,543845,1976,4,0,0,0,0,0,539,308024,0,2,0,0,0,0,105982,167,61,3,0,0,0,0,0,0,1838,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Naive,8192,100,Lower0.5Upper2,231833600,28300,283,490863426.5,981726853,1963453706,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,110,80,0,0,0,0,0,6,59,203348,144401496,230051133,2707794,1,0,0,0,1,1,1312,149895,9642729,522883,1969,4,0,0,0,0,0,541,352699,0,2,0,0,0,0,102035,179,61,2,0,0,0,0,0,0,1898,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Naive,8192,100,Lower0.5Upper2,232652800,28400,284,464080143.5,928160287,1856320574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,107,78,0,0,0,0,0,6,53,189335,136236574,217329793,2541240,1,0,0,0,1,1,1311,147029,9088071,496914,1926,3,0,0,0,0,0,545,387049,0,2,0,0,0,0,95323,181,60,2,0,0,0,0,0,0,1804,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Naive,8192,100,Lower0.5Upper2,233472000,28500,285,439712876.5,879425753,1758851506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,118,66,0,0,0,0,0,6,44,178794,127195784,206933138,2436810,1,0,0,0,2,1,1290,142187,8568258,481855,1925,3,0,0,0,0,0,607,411803,0,2,0,0,0,0,90240,184,58,2,0,0,0,0,0,0,1983,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Naive,8192,100,Lower0.5Upper2,234291200,28600,286,415992981.5,831985963,1663971926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,136,73,0,0,0,0,0,6,40,169006,117581406,197177108,2315056,1,0,0,0,2,1,1295,134856,8090471,467286,1904,3,0,0,0,0,0,630,451558,0,2,0,0,0,0,94747,176,57,4,0,0,0,0,0,0,2387,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
