LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
81,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428148413,493182213.85,,9110414,17016726,15579801,15714978,23684234
82,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428243874,493182213.85,,9099481,16983691,15572524,15759152,23704131
83,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428444758,493182213.85,,9122591,16974888,15548219,15774356,23731189
84,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428370068,493182213.85,,9108023,16952760,15567037,15783215,23725718
85,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428440382,493182213.85,,9103282,16936119,15581405,15802037,23705209
86,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428251391,493182213.85,,9087586,16900475,15571095,15774724,23703335
87,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428532116,493182213.85,,9106103,16817915,15569952,15790490,23722230
88,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428719279,493182213.85,,9085293,16807346,15574340,15793013,23741813
89,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428547741,493182213.85,,9072245,16789337,15566834,15785968,23705918
90,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428668574,493182213.85,,9056442,16793948,15575878,15796565,23703063
91,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428695661,493182213.85,,9061766,16775946,15576638,15789696,23710836
92,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428834455,493182213.85,,9061519,16756160,15593673,15780773,23728771
93,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428868312,493182213.85,,9066863,16716623,15617125,15752937,23719278
94,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428611115,493182213.85,,9050163,16673962,15599781,15753779,23736190
95,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428636465,493182213.85,,9057520,16629939,15619663,15766806,23700954
