LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
15,Vector,5000,25,Lower0.5Upper2,1120000,311,0,448669809,902787046,1794679236,,0,0,117,0,0,0,0,48,10,0,0,78,67075646,478020438,1961,0,162208,1707,527558,81,0,10182,3,0,0
15,Oracle Vector,5000,25,Lower0.5Upper2,730000,195,0,448669809,902787046,1794679236,,0,0,117,0,0,0,0,48,10,0,0,78,67075646,478020438,1961,0,162208,1707,527558,81,0,10182,3,0,0
15,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,902787046,1794679236,,0,0,117,0,0,0,0,48,10,0,0,78,67075646,478020438,1961,0,162208,1707,527558,81,0,10182,3,0,0
15,Dist L2,5000,25,Lower0.5Upper2,244,336,0,448669809,902787046,1794679236,,0,0,117,0,0,0,0,48,10,0,0,78,67075646,478020438,1961,0,162208,1707,527558,81,0,10182,3,0,0
16,Value,5000,25,Lower0.5Upper2,250361,592,1,451393523,912439027,1805574092,,0,0,132,0,0,0,0,45,10,0,0,89,66347685,487247147,1905,0,170696,1767,533378,67,0,10074,3,0,0
16,Vector,5000,25,Lower0.5Upper2,1140000,316,0,448669809,912439027,1794679236,,0,0,132,0,0,0,0,45,10,0,0,89,66347685,487247147,1905,0,170696,1767,533378,67,0,10074,3,0,0
16,Oracle Vector,5000,25,Lower0.5Upper2,730000,195,0,448669809,912439027,1794679236,,0,0,132,0,0,0,0,45,10,0,0,89,66347685,487247147,1905,0,170696,1767,533378,67,0,10074,3,0,0
16,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,912439027,1794679236,,0,0,132,0,0,0,0,45,10,0,0,89,66347685,487247147,1905,0,170696,1767,533378,67,0,10074,3,0,0
16,Dist L2,5000,25,Lower0.5Upper2,248,341,0,448669809,912439027,1794679236,,0,0,132,0,0,0,0,45,10,0,0,89,66347685,487247147,1905,0,170696,1767,533378,67,0,10074,3,0,0
17,Value,5000,25,Lower0.5Upper2,250361,592,1,451393523,922276683,1805574092,,0,0,119,0,0,0,0,27,17,0,0,96,65793243,496605276,1907,0,175268,1725,540111,59,0,10103,1,0,0
17,Vector,5000,25,Lower0.5Upper2,1140000,316,0,448669809,922276683,1794679236,,0,0,119,0,0,0,0,27,17,0,0,96,65793243,496605276,1907,0,175268,1725,540111,59,0,10103,1,0,0
17,Oracle Vector,5000,25,Lower0.5Upper2,750000,200,0,448669809,922276683,1794679236,,0,0,119,0,0,0,0,27,17,0,0,96,65793243,496605276,1907,0,175268,1725,540111,59,0,10103,1,0,0
17,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,922276683,1794679236,,0,0,119,0,0,0,0,27,17,0,0,96,65793243,496605276,1907,0,175268,1725,540111,59,0,10103,1,0,0
17,Dist L2,5000,25,Lower0.5Upper2,252,346,0,448669809,922276683,1794679236,,0,0,119,0,0,0,0,27,17,0,0,96,65793243,496605276,1907,0,175268,1725,540111,59,0,10103,1,0,0
18,Value,5000,25,Lower0.5Upper2,250365,597,1,451393523,939410680,1805574092,,0,0,141,0,0,0,0,26,14,0,0,108,66013983,509289977,1752,0,181293,1781,549738,63,0,10278,1,0,0
18,Vector,5000,25,Lower0.5Upper2,1160000,321,0,448669809,939410680,1794679236,,0,0,141,0,0,0,0,26,14,0,0,108,66013983,509289977,1752,0,181293,1781,549738,63,0,10278,1,0,0
18,Oracle Vector,5000,25,Lower0.5Upper2,770000,205,0,448669809,939410680,1794679236,,0,0,141,0,0,0,0,26,14,0,0,108,66013983,509289977,1752,0,181293,1781,549738,63,0,10278,1,0,0
18,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,939410680,1794679236,,0,0,141,0,0,0,0,26,14,0,0,108,66013983,509289977,1752,0,181293,1781,549738,63,0,10278,1,0,0
