LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
30,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
30,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
30,Naive,20402,4,Lower0.5Upper2,2448240,120,30,150451871.5,300903743,601807486,,16089,216023320,85746,7574599
30,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,300903743,536293670,,16089,216023320,85746,7574599
31,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
31,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
31,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
31,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
31,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
31,Naive,20402,4,Lower0.5Upper2,2529848,124,31,150398786.5,300797573,601595146,,16159,216351399,83646,7520456
31,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,300797573,536293670,,16159,216351399,83646,7520456
32,Value,20402,4,Lower0.5Upper2,28,35,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
32,FGM,20402,4,Lower0.5Upper2,123,123,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
32,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
32,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
32,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
32,Naive,20402,4,Lower0.5Upper2,2611456,128,32,151417187.5,302834375,605668750,,15973,217744069,85699,7612782
32,Dist L2,20402,4,Lower0.5Upper2,32,41,0,134073417.5,302834375,536293670,,15973,217744069,85699,7612782
33,Value,20402,4,Lower0.5Upper2,32,40,0,134073417.5,306808360,536293670,,16183,220576614,85426,7739665
33,FGM,20402,4,Lower0.5Upper2,124,124,0,134073417.5,306808360,536293670,,16183,220576614,85426,7739665
33,Vector,20402,4,Lower0.5Upper2,652864,42,0,134073417.5,306808360,536293670,,16183,220576614,85426,7739665
33,Oracle Vector,20402,4,Lower0.5Upper2,408040,25,0,134073417.5,306808360,536293670,,16183,220576614,85426,7739665
