LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Entropy
4000,Naive,14,10,Additive1.5,560000,40000,4000,3.57455219000369,5.07455219000369,6.57455219000369,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,Dist L1,14,10,Additive1.5,5180,2687,12,3.73385898169251,5.07455219000369,6.73385898169251,,2.9384452855684,4.03563189931307,4.1888355734013,3.67995137402663,4.88983561755701,1.21743266308092,4.90010114855903,4.65424086449782,4.01557831133374,4.24063625778697,3.89810730091521
4000,Value,15,10,Additive1.5,8420,3411,21,3.67204157350615,5.14352605145955,6.67204157350615,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,FGM,15,10,Additive1.5,50897,45227,21,3.67204157350615,5.14352605145955,6.67204157350615,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Vector,15,10,Additive1.5,14040,1152,5,3.81365088647454,5.14352605145955,6.81365088647454,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Oracle Vector,15,10,Additive1.5,5580,462,2,3.95195620090989,5.14352605145955,6.95195620090989,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Oracle,15,10,Additive1.5,600,40,2,2.92466014600002,5.14352605145955,5.92466014600002,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Naive,15,10,Additive1.5,600000,40000,4000,3.64352605145955,5.14352605145955,6.64352605145955,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Dist L1,15,10,Additive1.5,6290,3481,13,3.8028374302612,5.14352605145955,6.8028374302612,,2.92182383995593,4.10462476918038,4.25782806479769,3.74893601518874,4.95882792629757,1.28548187276035,4.96879260482196,4.72323194310517,4.08457042751665,4.30962873781038,3.89810730091521
4000,Value,16,10,Additive1.5,5914,2665,13,2.18585574259958,3.98729773718001,5.18585574259958,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,FGM,16,10,Additive1.5,43118,39348,13,2.18585574259958,3.98729773718001,5.18585574259958,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Vector,16,10,Additive1.5,11552,897,4,2.18585574259958,3.98729773718001,5.18585574259958,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Oracle Vector,16,10,Additive1.5,4128,318,1,1.14740497759705,3.98729773718001,4.14740497759705,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Oracle,16,10,Additive1.5,640,40,2,2.6507589892017,3.98729773718001,5.6507589892017,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Naive,16,10,Additive1.5,640000,40000,4000,2.48729773718001,3.98729773718001,5.48729773718001,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Dist L1,16,10,Additive1.5,4178,1958,9,2.18585574259958,3.98729773718001,5.18585574259958,,2.59596479960297,3.42437659298105,4.18022269084938,3.3354013975741,3.6905976948106,1.13906670490643,2.92629522869564,4.4174971192416,3.93475888168723,3.50489767824022,3.89810730091521
4000,Value,17,10,Additive1.5,6234,2759,13,1.90367296678912,3.71010486656929,4.90367296678912,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,FGM,17,10,Additive1.5,57582,53552,13,1.90367296678912,3.71010486656929,4.90367296678912,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Vector,17,10,Additive1.5,14042,1021,4,1.90367296678912,3.71010486656929,4.90367296678912,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Oracle Vector,17,10,Additive1.5,5712,415,1,1.04331759041056,3.71010486656929,4.04331759041056,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Oracle,17,10,Additive1.5,680,40,2,2.54420943086573,3.71010486656929,5.54420943086573,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Naive,17,10,Additive1.5,680000,40000,4000,2.21010486656929,3.71010486656929,5.21010486656929,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Dist L1,17,10,Additive1.5,5192,2236,11,1.90367296678912,3.71010486656929,4.90367296678912,,2.3201936670364,3.34076253205101,3.88683861445207,3.23953142306655,3.44043012071971,1.09571937405837,2.97016956548031,4.03953366200561,3.54193582572006,3.43550828693997,3.89810730091521
4000,Value,18,10,Additive1.5,7640,2969,16,1.92278254216149,3.75269947698172,4.92278254216149,,2.33256649168455,3.32842565612711,3.84944460185029,3.24801374675054,3.49753609830697,1.14807757121038,3.02702619592753,3.72164504240449,3.53478832027097,3.49262909454631,3.89810730091521
4000,FGM,18,10,Additive1.5,57488,52208,16,1.92278254216149,3.75269947698172,4.92278254216149,,2.33256649168455,3.32842565612711,3.84944460185029,3.24801374675054,3.49753609830697,1.14807757121038,3.02702619592753,3.72164504240449,3.53478832027097,3.49262909454631,3.89810730091521
