LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Distance L2 Scheme,3500,5,Multiplicative 0.12,3479447,14447,5319,99,6663545.68,7575562,8480876.32,,235325,436711,329778,257347,297990
10000,Oracle Scheme,3600,5,Multiplicative 0.12,36000,10,5,1,4898470.72,5561226,6234417.28,,76945,201176,288836,198428,301791
10000,Value Scheme,3600,5,Multiplicative 0.12,4193342,17342,6404,116,4842636.48,5561226,6163355.52,,76945,201176,288836,198428,301791
10000,Vector Scheme,3600,5,Multiplicative 0.12,38084193,13571,5289,40,4848716.4,5561226,6171093.6,,76945,201176,288836,198428,301791
10000,Distance L2 Scheme,3600,5,Multiplicative 0.12,4156986,16986,6275,115,4935925.28,5561226,6282086.72,,76945,201176,288836,198428,301791
10000,Oracle Scheme,3700,5,Multiplicative 0.12,185000,50,25,5,9293851.6,11251499,11828538.4,,941827,439084,291652,468033,421558
10000,Vector Scheme,3700,5,Multiplicative 0.12,26590572,9268,3593,29,9855029.36,11251499,12542764.64,,941827,439084,291652,468033,421558
10000,Value Scheme,3700,5,Multiplicative 0.12,3083605,12605,4645,83,9909256.72,11251499,12611781.28,,941827,439084,291652,468033,421558
10000,Distance L2 Scheme,3700,5,Multiplicative 0.12,3046611,12611,4671,82,10101991.68,11251499,12857080.32,,941827,439084,291652,468033,421558
10000,Oracle Scheme,3800,5,Multiplicative 0.12,76000,20,10,2,10010286.88,11579431,12740365.12,,241052,452713,545574,449329,451371
10000,Value Scheme,3800,5,Multiplicative 0.12,2710977,12977,4869,71,10028432.48,11579431,12763459.52,,241052,452713,545574,449329,451371
10000,Vector Scheme,3800,5,Multiplicative 0.12,26001769,8781,3421,23,10099210,11579431,12853540,,241052,452713,545574,449329,451371
10000,Distance L2 Scheme,3800,5,Multiplicative 0.12,2672594,12594,4733,70,9968749.12,11579431,12687498.88,,241052,452713,545574,449329,451371
10000,Oracle Scheme,3900,5,Multiplicative 0.12,195000,50,25,5,4806699.92,5502074,6117618.08,,130815,186809,261326,247416,211906
10000,Value Scheme,3900,5,Multiplicative 0.12,4422670,15670,5751,113,4784883.84,5502074,6089852.16,,130815,186809,261326,247416,211906
10000,Vector Scheme,3900,5,Multiplicative 0.12,37458849,12423,4802,43,4788276.24,5502074,6094169.76,,130815,186809,261326,247416,211906
10000,Distance L2 Scheme,3900,5,Multiplicative 0.12,4422945,15945,5858,113,4784883.84,5502074,6089852.16,,130815,186809,261326,247416,211906
10000,Oracle Scheme,4000,5,Multiplicative 0.12,360000,90,45,9,6036163.76,6780961,7682390.24,,222121,362595,279676,174570,266856
10000,Vector Scheme,4000,5,Multiplicative 0.12,40011379,12931,5001,45,6221880.72,6780961,7918757.28,,222121,362595,279676,174570,266856
10000,Value Scheme,4000,5,Multiplicative 0.12,4536436,16436,6044,113,6019097.92,6780961,7660670.08,,222121,362595,279676,174570,266856
10000,Distance L2 Scheme,4000,5,Multiplicative 0.12,4536289,16289,5993,113,6099148,6780961,7762552,,222121,362595,279676,174570,266856
10000,Oracle Scheme,4100,5,Multiplicative 0.12,1025000,250,125,25,8885457.68,9703795,11308764.32,,116606,495726,280061,550623,268877
10000,Vector Scheme,4100,5,Multiplicative 0.12,29243762,9334,3566,36,8514436.48,9703795,10836555.52,,116606,495726,280061,550623,268877
10000,Value Scheme,4100,5,Multiplicative 0.12,2880459,10459,3852,70,8526958.88,9703795,10852493.12,,116606,495726,280061,550623,268877
10000,Distance L2 Scheme,4100,5,Multiplicative 0.12,2880795,10795,3968,70,8531416.96,9703795,10858167.04,,116606,495726,280061,550623,268877
10000,Oracle Scheme,4200,5,Multiplicative 0.12,252000,60,30,6,9184373.44,10388392,11689202.56,,287686,493340,248234,567221,423034
10000,Vector Scheme,4200,5,Multiplicative 0.12,32157812,9928,3828,34,9141513.04,10388392,11634652.96,,287686,493340,248234,567221,423034
10000,Value Scheme,4200,5,Multiplicative 0.12,3499145,13145,4884,83,9647109.12,10388392,12278138.88,,287686,493340,248234,567221,423034
10000,Distance L2 Scheme,4200,5,Multiplicative 0.12,3498703,12703,4704,83,9122653.76,10388392,11610650.24,,287686,493340,248234,567221,423034
10000,Oracle Scheme,4300,5,Multiplicative 0.12,86000,20,10,2,6102095.12,6525728,7766302.88,,270461,230964,232802,291035,269231
10000,Vector Scheme,4300,5,Multiplicative 0.12,43226850,12912,5026,39,5737937.92,6525728,7302830.08,,270461,230964,232802,291035,269231
10000,Value Scheme,4300,5,Multiplicative 0.12,4832931,16931,6250,112,5713577.76,6525728,7271826.24,,270461,230964,232802,291035,269231
10000,Distance L2 Scheme,4300,5,Multiplicative 0.12,4832637,16637,6134,112,5713577.76,6525728,7271826.24,,270461,230964,232802,291035,269231
10000,Oracle Scheme,4400,5,Multiplicative 0.12,264000,60,30,6,4258439.68,5091488,5419832.32,,119206,275415,192052,142921,198080
10000,Vector Scheme,4400,5,Multiplicative 0.12,51378331,15097,5838,51,4333164,5091488,5514936,,119206,275415,192052,142921,198080
10000,Value Scheme,4400,5,Multiplicative 0.12,6001796,17796,6482,136,4476461.44,5091488,5697314.56,,119206,275415,192052,142921,198080
10000,Distance L2 Scheme,4400,5,Multiplicative 0.12,5957838,17838,6490,135,4505255.92,5091488,5733962.08,,119206,275415,192052,142921,198080
10000,Oracle Scheme,4500,5,Multiplicative 0.12,360000,80,40,8,5926603.76,6998583,7542950.24,,217120,421991,248526,249933,241861
10000,Value Scheme,4500,5,Multiplicative 0.12,4514532,14532,5352,100,6248506,6998583,7952644,,217120,421991,248526,249933,241861
10000,Vector Scheme,4500,5,Multiplicative 0.12,40062018,11520,4451,40,6261628.56,6998583,7969345.44,,217120,421991,248526,249933,241861
10000,Distance L2 Scheme,4500,5,Multiplicative 0.12,4514523,14523,5352,100,6237019.36,6998583,7938024.64,,217120,421991,248526,249933,241861
10000,Oracle Scheme,4600,5,Multiplicative 0.12,0,0,0,0,5535329.36,6537647,7044964.64,,263640,287812,260890,267500,241579
10000,Vector Scheme,4600,5,Multiplicative 0.12,44291957,12395,4814,39,5918540.32,6537647,7532687.68,,263640,287812,260890,267500,241579
10000,Value Scheme,4600,5,Multiplicative 0.12,5076368,16368,6050,110,5827265.84,6537647,7416520.16,,263640,287812,260890,267500,241579
10000,Distance L2 Scheme,4600,5,Multiplicative 0.12,5076959,16959,6280,110,5827265.84,6537647,7416520.16,,263640,287812,260890,267500,241579
10000,Value Scheme,4700,5,Multiplicative 0.12,3677986,11986,4440,78,10024823.6,11421976,12758866.4,,344053,559489,601239,314137,413751
10000,Vector Scheme,4700,5,Multiplicative 0.12,34378181,9415,3657,28,10240394.56,11421976,13033229.44,,344053,559489,601239,314137,413751
10000,Oracle Scheme,4700,5,Multiplicative 0.12,329000,70,35,7,11002544.08,11421976,14003237.92,,344053,559489,601239,314137,413751
10000,Distance L2 Scheme,4700,5,Multiplicative 0.12,3678550,12550,4662,78,10033764.4,11421976,12770245.6,,344053,559489,601239,314137,413751
10000,Oracle Scheme,4800,5,Multiplicative 0.12,1200000,250,125,25,8065615.36,9028048,10265328.64,,217364,380566,269997,604107,217872
10000,Vector Scheme,4800,5,Multiplicative 0.12,32623374,8960,3398,41,8373246.64,9028048,10656859.36,,217364,380566,269997,604107,217872
10000,Value Scheme,4800,5,Multiplicative 0.12,3562626,10626,3892,74,8019311.52,9028048,10206396.48,,217364,380566,269997,604107,217872
10000,Distance L2 Scheme,4800,5,Multiplicative 0.12,3467181,11181,4127,72,8019311.52,9028048,10206396.48,,217364,380566,269997,604107,217872
10000,Oracle Scheme,4900,5,Multiplicative 0.12,98000,20,10,2,4657653.44,4803496,5927922.56,,157466,351982,156723,247437,177591
10000,Vector Scheme,4900,5,Multiplicative 0.12,56069517,14709,5721,45,4166626.64,4803496,5302979.36,,157466,351982,156723,247437,177591
10000,Value Scheme,4900,5,Multiplicative 0.12,6191232,17232,6300,126,4236403.6,4803496,5391786.4,,157466,351982,156723,247437,177591
10000,Distance L2 Scheme,4900,5,Multiplicative 0.12,6191331,17331,6348,126,4231773.92,4803496,5385894.08,,157466,351982,156723,247437,177591
10000,Oracle Scheme,5000,5,Multiplicative 0.12,250000,50,25,5,3950124.64,4603134,5027431.36,,297904,108408,191341,157219,207803
10000,Vector Scheme,5000,5,Multiplicative 0.12,62614120,16112,6261,53,4006801.92,4603134,5099566.08,,297904,108408,191341,157219,207803
