LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
22,Naive,5000,8,Multiplicative 0.08,880000,176,22,42826938.4,46551020,50275101.6,,0,0,0,0,0,0,0,0
22,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46551020,51889821.48,,0,0,0,0,0,0,0,0
22,SKV,5000,8,Multiplicative 0.08,4452,695,0,44202440.52,46551020,51889821.48,,0,0,0,0,0,0,0,0
22,Value,5000,8,Multiplicative 0.08,80172,233,1,43349376.96,46551020,50888399.04,,0,0,0,0,0,0,0,0
22,Vector,5000,8,Multiplicative 0.08,670000,162,0,44202440.52,46551020,51889821.48,,0,0,0,0,0,0,0,0
22,Distance,5000,8,Multiplicative 0.08,80224,293,1,43349376.96,46551020,50888399.04,,0,0,0,0,0,0,0,0
22,SKD,5000,8,Multiplicative 0.08,4424,656,0,44202440.52,46551020,51889821.48,,0,0,0,0,0,0,0,0
23,Naive,5000,8,Multiplicative 0.08,920000,184,23,42880814.52,46609581,50338347.48,,0,0,0,0,0,0,0,0
23,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,46609581,51889821.48,,0,0,0,0,0,0,0,0
23,Value,5000,8,Multiplicative 0.08,80184,248,1,43349376.96,46609581,50888399.04,,0,0,0,0,0,0,0,0
23,SKV,5000,8,Multiplicative 0.08,4464,709,0,44202440.52,46609581,51889821.48,,0,0,0,0,0,0,0,0
23,Vector,5000,8,Multiplicative 0.08,710000,171,0,44202440.52,46609581,51889821.48,,0,0,0,0,0,0,0,0
23,SKD,5000,8,Multiplicative 0.08,4440,677,0,44202440.52,46609581,51889821.48,,0,0,0,0,0,0,0,0
23,Distance,5000,8,Multiplicative 0.08,80240,315,1,43349376.96,46609581,50888399.04,,0,0,0,0,0,0,0,0
24,Naive,5000,8,Multiplicative 0.08,960000,192,24,43294800.72,47059566,50824331.28,,0,0,0,0,0,0,0,0
24,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47059566,51889821.48,,0,0,0,0,0,0,0,0
24,SKV,5000,8,Multiplicative 0.08,4478,726,0,44202440.52,47059566,51889821.48,,0,0,0,0,0,0,0,0
24,Value,5000,8,Multiplicative 0.08,80202,272,1,43349376.96,47059566,50888399.04,,0,0,0,0,0,0,0,0
24,Vector,5000,8,Multiplicative 0.08,730000,176,0,44202440.52,47059566,51889821.48,,0,0,0,0,0,0,0,0
24,Distance,5000,8,Multiplicative 0.08,80256,336,1,43349376.96,47059566,50888399.04,,0,0,0,0,0,0,0,0
24,SKD,5000,8,Multiplicative 0.08,4456,697,0,44202440.52,47059566,51889821.48,,0,0,0,0,0,0,0,0
25,Naive,5000,8,Multiplicative 0.08,1000000,200,25,43613140.96,47405588,51198035.04,,0,0,0,0,0,0,0,0
25,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47405588,51889821.48,,0,0,0,0,0,0,0,0
25,SKV,5000,8,Multiplicative 0.08,4498,751,0,44202440.52,47405588,51889821.48,,0,0,0,0,0,0,0,0
25,Vector,5000,8,Multiplicative 0.08,780000,189,0,44202440.52,47405588,51889821.48,,0,0,0,0,0,0,0,0
25,Distance,5000,8,Multiplicative 0.08,80272,356,1,43349376.96,47405588,50888399.04,,0,0,0,0,0,0,0,0
25,SKD,5000,8,Multiplicative 0.08,4472,719,0,44202440.52,47405588,51889821.48,,0,0,0,0,0,0,0,0
25,Value,5000,8,Multiplicative 0.08,160218,318,2,43613140.96,47405588,51198035.04,,0,0,0,0,0,0,0,0
26,Naive,5000,8,Multiplicative 0.08,1040000,208,26,43563833.56,47351993,51140152.44,,0,0,0,0,0,0,0,0
26,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47351993,51889821.48,,0,0,0,0,0,0,0,0
26,Value,5000,8,Multiplicative 0.08,160218,318,2,43613140.96,47351993,51198035.04,,0,0,0,0,0,0,0,0
26,SKV,5000,8,Multiplicative 0.08,4512,768,0,44202440.52,47351993,51889821.48,,0,0,0,0,0,0,0,0
26,Vector,5000,8,Multiplicative 0.08,820000,199,0,44202440.52,47351993,51889821.48,,0,0,0,0,0,0,0,0
26,SKD,5000,8,Multiplicative 0.08,4488,739,0,44202440.52,47351993,51889821.48,,0,0,0,0,0,0,0,0
26,Distance,5000,8,Multiplicative 0.08,80288,377,1,43349376.96,47351993,50888399.04,,0,0,0,0,0,0,0,0
27,Naive,5000,8,Multiplicative 0.08,1080000,216,27,43621719.04,47414912,51208104.96,,0,0,0,0,0,0,0,0
27,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47414912,51889821.48,,0,0,0,0,0,0,0,0
27,SKV,5000,8,Multiplicative 0.08,4526,784,0,44202440.52,47414912,51889821.48,,0,0,0,0,0,0,0,0
27,Value,5000,8,Multiplicative 0.08,160218,318,2,43613140.96,47414912,51198035.04,,0,0,0,0,0,0,0,0
27,Vector,5000,8,Multiplicative 0.08,840000,204,0,44202440.52,47414912,51889821.48,,0,0,0,0,0,0,0,0
27,SKD,5000,8,Multiplicative 0.08,4504,760,0,44202440.52,47414912,51889821.48,,0,0,0,0,0,0,0,0
27,Distance,5000,8,Multiplicative 0.08,160304,425,2,43621719.04,47414912,51208104.96,,0,0,0,0,0,0,0,0
28,Naive,5000,8,Multiplicative 0.08,1120000,224,28,43492144.4,47274070,51055995.6,,0,0,0,0,0,0,0,0
28,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47274070,51889821.48,,0,0,0,0,0,0,0,0
28,SKV,5000,8,Multiplicative 0.08,4538,799,0,44202440.52,47274070,51889821.48,,0,0,0,0,0,0,0,0
28,Value,5000,8,Multiplicative 0.08,160218,318,2,43613140.96,47274070,51198035.04,,0,0,0,0,0,0,0,0
28,Vector,5000,8,Multiplicative 0.08,880000,214,0,44202440.52,47274070,51889821.48,,0,0,0,0,0,0,0,0
28,SKD,5000,8,Multiplicative 0.08,4520,782,0,44202440.52,47274070,51889821.48,,0,0,0,0,0,0,0,0
28,Distance,5000,8,Multiplicative 0.08,160304,425,2,43621719.04,47274070,51208104.96,,0,0,0,0,0,0,0,0
29,Naive,5000,8,Multiplicative 0.08,1160000,232,29,43618621.4,47411545,51204468.6,,0,0,0,0,0,0,0,0
29,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47411545,51889821.48,,0,0,0,0,0,0,0,0
29,SKV,5000,8,Multiplicative 0.08,4564,833,0,44202440.52,47411545,51889821.48,,0,0,0,0,0,0,0,0
29,Value,5000,8,Multiplicative 0.08,160226,328,2,43613140.96,47411545,51198035.04,,0,0,0,0,0,0,0,0
29,Vector,5000,8,Multiplicative 0.08,910000,222,0,44202440.52,47411545,51889821.48,,0,0,0,0,0,0,0,0
29,Distance,5000,8,Multiplicative 0.08,160312,434,2,43621719.04,47411545,51208104.96,,0,0,0,0,0,0,0,0
29,SKD,5000,8,Multiplicative 0.08,4536,806,0,44202440.52,47411545,51889821.48,,0,0,0,0,0,0,0,0
30,Naive,5000,8,Multiplicative 0.08,1200000,240,30,43348844.28,47118309,50887773.72,,0,0,0,0,0,0,0,0
30,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47118309,51889821.48,,0,0,0,0,0,0,0,0
30,Value,5000,8,Multiplicative 0.08,160226,328,2,43613140.96,47118309,51198035.04,,0,0,0,0,0,0,0,0
30,Vector,5000,8,Multiplicative 0.08,940000,229,0,44202440.52,47118309,51889821.48,,0,0,0,0,0,0,0,0
30,SKV,5000,8,Multiplicative 0.08,4854,891,0,44202440.52,47118309,51889821.48,,0,0,0,0,0,0,0,0
30,Distance,5000,8,Multiplicative 0.08,160320,443,2,43621719.04,47118309,51208104.96,,0,0,0,0,0,0,0,0
30,SKD,5000,8,Multiplicative 0.08,4816,854,0,44202440.52,47118309,51889821.48,,0,0,0,0,0,0,0,0
31,Naive,5000,8,Multiplicative 0.08,1240000,248,31,43422217.96,47198063,50973908.04,,0,0,0,0,0,0,0,0
31,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47198063,51889821.48,,0,0,0,0,0,0,0,0
31,SKV,5000,8,Multiplicative 0.08,4874,914,0,44202440.52,47198063,51889821.48,,0,0,0,0,0,0,0,0
31,Value,5000,8,Multiplicative 0.08,160230,333,2,43613140.96,47198063,51198035.04,,0,0,0,0,0,0,0,0
31,Vector,5000,8,Multiplicative 0.08,980000,239,0,44202440.52,47198063,51889821.48,,0,0,0,0,0,0,0,0
31,SKD,5000,8,Multiplicative 0.08,4832,874,0,44202440.52,47198063,51889821.48,,0,0,0,0,0,0,0,0
31,Distance,5000,8,Multiplicative 0.08,160320,443,2,43621719.04,47198063,51208104.96,,0,0,0,0,0,0,0,0
32,Naive,5000,8,Multiplicative 0.08,1280000,256,32,43410501.76,47185328,50960154.24,,0,0,0,0,0,0,0,0
32,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47185328,51889821.48,,0,0,0,0,0,0,0,0
