LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12
16,Oracle,4950,12,Threshold 5,0,0,0,5,5.581959158,+Infinity,,0.165544359,0.472280146,0.041864575,0.406019423,0.039804126,0.479407851,0.668974734,0.078764679,0.296667792,0.075447138,0.196929847,0.318309653
16,Naive,4950,12,Threshold 5,950400,192,16,5,5.58188457,+Infinity,,0.16811782,0.477608768,0.044302983,0.402556445,0.007206216,0.486147499,0.669623502,0.079161737,0.293787787,0.08534198,0.196863064,0.322191412
16,Distance,4950,12,Threshold 5,1900992,864,16,5,5.581862356,+Infinity,,0.166819013,0.471994288,-0.0412838,0.406711469,-0.010383823,0.49493827,0.668268825,0.079364227,0.296671942,0.078691197,0.195208931,0.321496772
17,Value,4950,12,Threshold 5,1901010,888,16,5,5.606732915,+Infinity,,0.16496412,0.470202585,0.043424289,0.402832601,-0.005413258,0.504131924,0.668674034,0.086062697,0.29727486,0.073969848,0.19521642,0.321965135
17,Vector,4950,12,Threshold 5,1148400,249,0,5,5.606719425,+Infinity,,0.168764583,0.472583723,0.039119712,0.402702502,-0.010719252,0.513587451,0.668505258,0.078424849,0.296300375,0.098424921,0.195484499,0.317623861
17,Oracle,4950,12,Threshold 5,0,0,0,5,5.606715809,+Infinity,,0.164573924,0.47026469,0.035136327,0.40121056,0.007643963,0.4960393,0.669741739,0.084768271,0.294677579,0.098983429,0.195602842,0.322116102
17,Naive,4950,12,Threshold 5,1009800,204,17,5,5.606727885,+Infinity,,0.16549555,0.471134919,0.035747412,0.405646625,0.009590034,0.495883921,0.668553117,0.080391159,0.294514372,0.097700957,0.195324309,0.319529628
17,Distance,4950,12,Threshold 5,2019804,921,17,5,5.606728237,+Infinity,,0.166314329,0.472491089,0.040436731,0.401058567,0.008493718,0.506741948,0.669667014,0.08636671,0.296604069,0.079659562,0.196776104,0.320933151
18,Value,4950,12,Threshold 5,2019822,942,17,5,5.491775628,+Infinity,,0.176454685,0.476634982,0.041003836,0.40437852,0.00539359,0.407928145,0.668377468,0.08552664,0.220464495,0.080286843,0.197220019,0.31929419
18,Vector,4950,12,Threshold 5,1217700,264,0,5,5.491787221,+Infinity,,0.178248764,0.477553077,0.04016677,0.400118942,-0.006686426,0.407922376,0.668064311,0.084660884,0.221703585,0.098512556,0.195238494,0.317166641
18,Oracle,4950,12,Threshold 5,0,0,0,5,5.49176846,+Infinity,,0.174610173,0.477620369,0.039572965,0.430720994,0.006724789,0.407760711,0.667823693,0.081117605,0.221427438,0.074127734,0.195356959,0.31785724
18,Naive,4950,12,Threshold 5,1069200,216,18,5,5.491771073,+Infinity,,0.177627012,0.477601978,0.043284229,0.423866994,0.002090041,0.40822845,0.668812019,0.080248164,0.220623372,0.076361312,0.195804924,0.322512359
18,Distance,4950,12,Threshold 5,2138616,975,18,5,5.491781573,+Infinity,,0.174397298,0.478218372,0.040671278,0.406366248,0.014248502,0.408180362,0.669700088,0.079678079,0.222386531,0.077421103,0.196664108,0.318186229
19,Value,4950,12,Threshold 5,2138634,994,18,5,5.340726911,+Infinity,,0.186318608,0.47707174,0.036286792,0.347317362,0.024420982,0.476142233,0.668018369,0.085677794,0.222532504,0.072693456,0.196107314,0.317566466
19,Vector,4950,12,Threshold 5,1326600,289,0,5,5.340742611,+Infinity,,0.186668993,0.476748562,0.037505569,0.346672192,0.009996054,0.475011191,0.668624758,0.079511365,0.221748023,0.068803389,0.195382304,0.321352565
19,Oracle,4950,12,Threshold 5,0,0,0,5,5.340768389,+Infinity,,0.186740482,0.477636578,0.042725365,0.348144958,0.010705434,0.475762351,0.668960311,0.081599538,0.22273707,0.069744982,0.197682413,0.317673977
19,Naive,4950,12,Threshold 5,1128600,228,19,5,5.340757925,+Infinity,,0.186930134,0.476724528,0.038555992,0.349303296,-0.000311241,0.475713538,0.668752246,0.082616426,0.221985672,0.070929949,0.198404415,0.319050791
19,Distance,4950,12,Threshold 5,2257428,1027,19,5,5.340754448,+Infinity,,0.190367564,0.47614854,0.037615235,0.34948954,-0.008953687,0.47474252,0.668271966,0.08512568,0.220478509,0.072075033,0.197941514,0.319142224
20,Value,4950,12,Threshold 5,2257446,1049,19,5,5.181772699,+Infinity,,0.358244623,0.502390928,-0.042256357,0.349390768,0.150211343,0.47567009,0.668609415,0.086031194,0.221571831,0.073405559,0.198275386,0.317540275
20,Vector,4950,12,Threshold 5,1386000,320,1,5,5.18176182,+Infinity,,0.357097527,0.50276865,0.044605794,0.348385514,0.149949129,0.475444005,0.668964594,0.086609757,0.22151706,0.069139603,0.196177405,0.319305611
20,Oracle,4950,12,Threshold 5,0,0,0,5,5.181733526,+Infinity,,0.357619643,0.503316594,0.038230057,0.345530652,0.149368626,0.47533455,0.66919919,0.081099961,0.222466723,0.070130134,0.195347763,0.317613233
20,Naive,4950,12,Threshold 5,1188000,240,20,5,5.181783734,+Infinity,,0.357097819,0.50362783,0.042383968,0.401574634,0.151641158,0.475923654,0.669239356,0.07870731,0.221041641,0.068727675,0.196822897,0.31767414
20,Distance,4950,12,Threshold 5,2376240,1082,20,5,5.181767762,+Infinity,,0.357907616,0.504082579,0.035799086,0.34660575,0.165629409,0.475316556,0.670231259,0.080697274,0.22141527,0.071807815,0.196453009,0.318455494
21,Value,4950,12,Threshold 5,2376258,1106,20,-Infinity,4.990555083,5,,0.356583062,0.503557675,0.053282779,0.349364485,0.146238602,0.47588295,0.669188982,0.084640256,0.221891099,0.069798292,0.198365156,0.318057169
21,Vector,4950,12,Threshold 5,1445400,353,2,-Infinity,4.990558487,5,,0.357004375,0.503149569,0.052702115,0.34949328,0.169395733,0.475309462,0.668721467,0.084980493,0.221524708,0.069917147,0.195780422,0.317777662
21,Oracle,4950,12,Threshold 5,118800,24,1,-Infinity,4.99056944,5,,0.358289782,0.502972928,0.053417476,0.348195156,0.167503385,0.561011807,0.669000286,0.080701785,0.221356185,0.06976532,0.196459569,0.32140896
21,Naive,4950,12,Threshold 5,1247400,252,21,-Infinity,4.990549778,5,,0.357449017,0.503296252,0.052533488,0.349404461,0.149487408,0.475488684,0.668076175,0.079295049,0.221703608,0.072938257,0.197464108,0.320848977
21,Distance,4950,12,Threshold 5,2495052,1139,21,-Infinity,4.990551919,5,,0.356020261,0.504999219,0.050196659,0.346364566,0.158610401,0.476475685,0.66848125,0.080319405,0.221650374,0.070191017,0.197382643,0.318154391
