LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
157,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,203472,2512,157,-99009.3643680927,1981.27126381466,103962.542527629,,0.290202749662518,0.225537744547315,0.116918192910077,0.160021861911677,13.5510711794708,23.2597440640658,22.1920482984216,24.8838167656828,38.4437179770725,38.2547129472959,65.2590610949616,74.2351903976295,3.40417319803713,2.35078509958938,4.51369477929441,2.69676177327925
158,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,204768,2528,158,-99057.7105628166,1884.5788743667,103769.157748733,,0.296522053104081,0.202186965114796,0.138597008908315,0.145196789538241,10.6154136871253,25.2830938913839,22.4363791409961,28.5046235865694,41.7385199453304,42.0944330113823,46.5811613924566,90.0383882334188,3.82250736250871,2.49360982540054,5.31342209960723,3.79730939025053
159,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,206064,2544,159,-99000.0490101604,1999.90197967929,103999.803959359,,0.313170364484015,0.153298606423962,0.137526498204206,0.132968744516743,9.11040587541694,28.403668763655,23.2405148272548,30.7626348577033,49.3414079912531,44.3672316738619,45.8337748408828,89.8520346928751,4.17758479816129,2.86454877245924,5.31585527759949,4.84333533355254
160,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,207360,2560,160,-98871.259527466,2257.48094506792,104514.961890136,,0.324242651796117,0.152850151426513,0.103323060316671,0.123845307392366,9.20453066206118,32.8033827171321,28.915546108249,30.9204055350528,46.8162936413941,51.628925240481,40.6237961115976,92.9057492178439,6.17571239315376,3.10279768190118,5.80592074477518,6.03209346236708
161,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,208656,2576,161,-98876.6270938353,2246.74581232938,104493.491624659,,0.299242441805241,0.178556205632689,0.121017506538285,0.225837975850417,11.24575336576,34.6956781235883,31.6260399658116,32.6739593314518,43.2374804473474,63.7697385103256,47.5349611321896,83.2187555017465,7.47151368063679,3.39324062369212,7.16906199297938,6.65223793000701
162,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,209952,2592,162,-98696.1299308922,2607.74013821563,105215.480276431,,0.280283472490779,0.201142161091208,0.105060949715501,0.205460634234283,14.3770370574714,36.5145726187227,35.614846006505,30.9531852884823,55.086889044512,79.0932677837476,52.5320524026186,86.3527172052462,8.59808897204601,4.64555352593153,7.68122276499648,7.38608383394855
163,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,211248,2608,163,-98270.5936917185,3458.81261656303,106917.625233126,,0.279848737600172,0.202348726918191,0.104082516071768,0.223862190622628,14.3562229218038,38.5316054535793,28.7252653800755,35.4330979916863,78.7069476787669,113.466353974649,62.1434912853966,134.594985206801,11.4473836508181,6.65114840103096,9.73895771628181,9.53773905385315
164,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,212544,2624,164,-98019.0527915216,3961.8944169568,107923.788833914,,0.254017641292545,0.188732010877261,0.11169707194803,0.197232225708986,19.088614927522,42.9003269641671,32.8913083969372,41.2387261478409,98.2394222906822,122.879984919273,72.1219936817271,125.560723529261,13.8571043229676,7.75956169147623,9.39889247494861,9.71066099076396
165,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,213840,2640,165,-97581.9461182049,4836.10776359011,109672.21552718,,0.317253755966714,0.188061549579871,0.150439932459018,0.31437608856241,22.1728220936957,43.5694590756843,35.4710319785322,38.6893027754984,110.594804293804,156.285371973934,82.01872786829,162.428371487174,20.5297872711319,9.88741072198538,11.8768276094894,12.522587392052
166,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,215136,2656,166,-97170.7802868237,5658.43942635253,111316.878852705,,0.51094606984628,0.46511746894349,0.225442834494659,0.342870921052368,25.6529948898171,51.4515291784163,37.5508835714694,41.5979718317954,118.485838485342,167.481305261111,124.871133552928,150.214009208643,21.9755250220693,11.9702174774257,14.1220739847899,16.3467614389792
167,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,216432,2672,167,-95948.7892598714,8102.42148025725,116204.842960515,,0.460255633060432,0.544259579175912,0.254385756202322,0.328362261564874,33.8767487856485,64.7259006291429,46.6406766682742,50.9965316960335,181.402698756998,229.310545272656,174.315097369599,199.222629463586,26.052407797635,16.7373778784997,22.4470866101525,19.1855239885933
168,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,217728,2688,168,-94869.7335445478,10260.5329109043,120521.065821809,,0.604834549628967,0.695883861227221,0.293523415659878,0.449148525933107,53.3311664845203,79.2775034256554,53.6141481435483,55.5456509402192,217.568304395728,276.820884552475,218.994454838438,225.381067058266,29.436874059829,19.6309175702921,38.0110045687291,24.3855433690912
